index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
3,Prolute,18,25,0.72,124,Las Vegas Legion,232,loser,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
4,Vivid,23,28,0.82,60,Boston Breach,250,winner,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
5,Methodz,24,25,0.96,69,Boston Breach,250,winner,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
6,Owakening,22,23,0.96,30,Boston Breach,250,winner,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
7,Nero,25,22,1.13,95,Boston Breach,250,winner,LVLBBW2M2, Hydro,Hardpoint,11:23,Las Vegas Legion,,,,,
0,PaulEhx,23,24,0.96,146,London Royal Ravens,242,loser,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
1,Nastie,25,25,1.00,34,London Royal Ravens,242,loser,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
2,Asim,26,30,0.87,31,London Royal Ravens,242,loser,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
3,Skrapz,26,28,0.93,35,London Royal Ravens,242,loser,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
4,Octane,25,27,0.93,72,Los Angeles Thieves,250,winner,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
5,Drazah,26,23,1.12,61,Los Angeles Thieves,250,winner,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
6,Capsidal,24,27,0.89,31,Los Angeles Thieves,250,winner,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
7,Envoy,32,23,1.39,78,Los Angeles Thieves,250,winner,LRRLATW2M2, Fortress,Hardpoint,11:40,London Royal Ravens,,,,,
0,PaulEhx,3,8,0.38,,London Royal Ravens,2,loser,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,0,2,0,0,
1,Nastie,2,7,0.28,,London Royal Ravens,2,loser,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,0,1,0,1,
2,Asim,9,6,1.50,,London Royal Ravens,2,loser,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,3,1,0,0,
3,Skrapz,4,7,0.56,,London Royal Ravens,2,loser,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,0,1,0,0,
4,Octane,7,3,2.33,,Los Angeles Thieves,6,winner,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,2,0,1,0,
5,Drazah,6,4,1.50,,Los Angeles Thieves,6,winner,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,0,1,0,0,
6,Capsidal,10,6,1.67,,Los Angeles Thieves,6,winner,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,2,0,0,0,
7,Envoy,5,5,1.00,,Los Angeles Thieves,6,winner,LRRLATW2M2, Hotel,SearchandDestroy,8:09,London Royal Ravens,1,2,2,0,
0,PaulEhx,21,25,0.84,,London Royal Ravens,1,loser,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,3
1,Nastie,21,24,0.88,,London Royal Ravens,1,loser,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,7
2,Asim,23,29,0.79,,London Royal Ravens,1,loser,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,5
3,Skrapz,25,24,1.04,,London Royal Ravens,1,loser,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,3
4,Octane,17,22,0.77,,Los Angeles Thieves,3,winner,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,11
5,Drazah,28,23,1.22,,Los Angeles Thieves,3,winner,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,7
6,Capsidal,30,23,1.30,,Los Angeles Thieves,3,winner,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,5
7,Envoy,27,22,1.23,,Los Angeles Thieves,3,winner,LRRLATW2M2, Hotel,Control,12:56,London Royal Ravens,,,,,7
0,Scrappy,23,25,0.92,47,Toronto Ultra,214,loser,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
1,Insight,20,20,1.00,68,Toronto Ultra,214,loser,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
2,CleanX,19,27,0.70,55,Toronto Ultra,214,loser,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
3,Standy,15,19,0.79,117,Toronto Ultra,214,loser,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
4,Shotzzy,27,20,1.35,49,OpTic Texas,250,winner,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
5,Dashy,22,16,1.38,125,OpTic Texas,250,winner,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
6,Huke,24,20,1.20,85,OpTic Texas,250,winner,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
7,iLLeY,18,21,0.86,66,OpTic Texas,250,winner,TUOTW2M2, Hotel,Hardpoint,9:55,Toronto Ultra,,,,,
0,Scrappy,5,7,0.71,,Toronto Ultra,4,loser,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,1,2,0,1,
1,Insight,8,7,1.13,,Toronto Ultra,4,loser,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,1,1,0,0,
2,CleanX,4,6,0.67,,Toronto Ultra,4,loser,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,1,2,1,0,
3,Standy,6,7,0.86,,Toronto Ultra,4,loser,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,0,2,2,0,
4,Shotzzy,7,7,1.00,,OpTic Texas,6,winner,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,4,2,0,0,
5,Dashy,7,5,1.40,,OpTic Texas,6,winner,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,0,1,0,0,
6,Huke,7,5,1.40,,OpTic Texas,6,winner,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,1,0,3,0,
7,iLLeY,6,6,1.00,,OpTic Texas,6,winner,TUOTW2M2, Embassy,SearchandDestroy,8:17,Toronto Ultra,2,0,0,1,
0,Scrappy,21,14,1.50,,Toronto Ultra,3,winner,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,2
1,Insight,14,11,1.27,,Toronto Ultra,3,winner,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,3
2,CleanX,21,14,1.50,,Toronto Ultra,3,winner,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,0
3,Standy,13,14,0.93,,Toronto Ultra,3,winner,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,2
4,Shotzzy,16,18,0.89,,OpTic Texas,1,loser,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,0
5,Dashy,14,18,0.78,,OpTic Texas,1,loser,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,0
6,Huke,10,18,0.56,,OpTic Texas,1,loser,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,0
7,iLLeY,13,15,0.87,,OpTic Texas,1,loser,TUOTW2M2, Fortress,Control,7:25,Toronto Ultra,,,,,0
0,Scrappy,20,30,0.67,79,Toronto Ultra,191,loser,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
1,Insight,28,20,1.40,17,Toronto Ultra,191,loser,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
2,CleanX,25,30,0.83,51,Toronto Ultra,191,loser,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
3,Standy,24,26,0.92,47,Toronto Ultra,191,loser,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
4,Shotzzy,27,27,1.00,89,OpTic Texas,250,winner,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
5,Dashy,20,24,0.83,50,OpTic Texas,250,winner,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
6,Huke,25,23,1.09,36,OpTic Texas,250,winner,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
7,iLLeY,34,23,1.48,128,OpTic Texas,250,winner,TUOTW2M2, Embassy,Hardpoint,11:01,Toronto Ultra,,,,,
0,Attach,26,27,0.96,66,Minnesota RØKKR,250,winner,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
1,Afro,22,25,0.88,35,Minnesota RØKKR,250,winner,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
2,Bance,35,29,1.21,62,Minnesota RØKKR,250,winner,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
3,Cammy,27,24,1.12,100,Minnesota RØKKR,250,winner,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
4,Cellium,26,28,0.93,26,Atlanta FaZe,246,loser,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
5,Simp,27,26,1.04,99,Atlanta FaZe,246,loser,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
6,aBeZy,28,28,1.00,56,Atlanta FaZe,246,loser,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
7,SlasheR,24,28,0.86,77,Atlanta FaZe,246,loser,MRAFW2M2, Fortress,Hardpoint,11:54,Minnesota RØKKR,,,,,
0,Attach,4,6,0.67,,Minnesota RØKKR,6,winner,MRAFW2M2, Hotel,SearchandDestroy,11:00,Minnesota RØKKR,0,0,0,0,
1,Afro,9,5,1.80,,Minnesota RØKKR,6,winner,MRAFW2M2, Hotel,SearchandDestroy,11:00,Minnesota RØKKR,3,3,0,0,
