team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
London Royal Ravens,OpTic Texas,6,2, Mercado,8:54, Search and Destroy,Zer0,1,6,0.17,,Nastie,5,7,0.71,,Asim,5,6,0.83,,PaulEhx,6,6,1.00,,Scump,8,2,4.00,,iLLeY,4,5,0.80,,Dashy,5,4,1.25,,Shotzzy,8,6,1.33,,0,1,0,0,1,0,0,0,2,4,1,0,0,0,2,0,2,0,2,2,1,1,0,0,2,0,0,0,0,2,0,0,,,,,,,,
London Royal Ravens,OpTic Texas,3,2, Hotel,16:39, Control,Zer0,25,23,1.09,,Nastie,15,26,0.57,,Asim,31,26,1.19,,PaulEhx,21,28,0.75,,Scump,30,25,1.20,,iLLeY,26,25,1.04,,Dashy,19,15,1.27,,Shotzzy,28,27,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,5,5,4,4,4,7
London Royal Ravens,OpTic Texas,193,250, Embassy,11:45, Hardpoint,Zer0,19,20,0.95,70,Nastie,33,25,1.32,76,Asim,35,26,1.35,50,PaulEhx,29,23,1.26,79,Scump,29,30,0.97,31,iLLeY,20,28,0.71,86,Dashy,21,27,0.78,56,Shotzzy,24,31,0.77,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Royal Ravens,OpTic Texas,6,1, Fortress,8:03, Search and Destroy,Zer0,4,6,0.67,,Nastie,3,6,0.50,,Asim,2,7,0.28,,PaulEhx,3,6,0.50,,Scump,7,3,2.33,,iLLeY,7,2,3.50,,Dashy,3,4,0.75,,Shotzzy,8,3,2.67,,0,1,0,0,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,3,0,1,0,,,,,,,,
New York Subliners,Boston Breach,250,218, Fortress,11:46, Hardpoint,KiSMET,31,28,1.11,51,Priestahh,25,26,0.96,60,Skyz,20,22,0.91,40,HyDra,35,23,1.52,80,Vivid,34,31,1.10,54,Methodz,23,24,0.96,118,Owakening,26,25,1.04,72,Nero,16,31,0.52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,Boston Breach,6,5, Fortress,11:14, Search and Destroy,KiSMET,4,10,0.40,,Priestahh,7,6,1.17,,Skyz,9,8,1.12,,HyDra,6,10,0.60,,Vivid,9,5,1.80,,Methodz,11,5,2.20,,Owakening,11,7,1.57,,Nero,3,9,0.33,,2,2,1,1,1,0,0,0,1,0,0,0,1,4,0,0,2,1,1,0,1,0,0,0,2,2,0,0,1,2,2,0,,,,,,,,
New York Subliners,Boston Breach,2,3, Fortress,12:22, Control,KiSMET,28,30,0.93,,Priestahh,23,23,1.00,,Skyz,16,22,0.73,,HyDra,39,25,1.56,,Vivid,27,29,0.93,,Methodz,27,22,1.23,,Owakening,21,27,0.78,,Nero,25,28,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,0,4,4,0,2
New York Subliners,Boston Breach,221,250, Hydro,11:49, Hardpoint,KiSMET,29,21,1.38,115,Priestahh,26,23,1.12,52,Skyz,18,30,0.60,75,HyDra,21,21,1.00,46,Vivid,24,29,0.83,37,Methodz,18,23,0.78,46,Owakening,21,22,0.95,125,Nero,32,20,1.60,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,Boston Breach,3,6, Embassy,11:11, Search and Destroy,KiSMET,10,5,2.00,,Priestahh,7,7,1.00,,Skyz,5,6,0.83,,HyDra,7,4,1.75,,Vivid,6,7,0.86,,Methodz,10,5,2.00,,Owakening,4,8,0.50,,Nero,2,9,0.22,,2,1,1,0,0,1,0,0,0,1,0,0,2,2,3,0,2,0,0,0,2,0,1,0,0,2,0,0,1,2,1,0,,,,,,,,
Los Angeles Thieves,Florida Mutineers,189,250, Hotel,9:35, Hardpoint,Envoy,23,20,1.14,45,Kenny,22,18,1.22,47,Drazah,27,20,1.35,111,Octane,19,17,1.12,105,Vikul,25,20,1.25,46,Havok,18,26,0.69,45,MajorManiak,17,22,0.77,74,Brack,15,23,0.65,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
